country_name,country_code,ticker,etf_currency,currency_hedged,etf_price_field,year,etf_price_start,etf_price_end,etf_return_pct,etf_return_quote_pct,quote_ccy_vs_usd_pct,etf_return_usd_pct,country_lcu_vs_usd_weo_pct,country_lcu_vs_usd_10y_cagr,inflation_cpi_diff_10y_avg,inflation_deflator_diff_10y_avg,etf_usd_minus_country_fx_pct,gdp_current_usd,gdp_current_lcu,gdp_real_growth_pct,gdp_nominal_growth_pct,gdp_real_minus_etf_growth_pct,gdp_nominal_minus_etf_growth_pct,gdp_minus_etf_growth_pct,quote_ccy_vs_usd_jan1_pct,country_lcu_vs_usd_jan1_pct
Australia,AUS,SAUS.L,GBp,unknown,Close,2010,24.2668701171875,18.17,-25.124254128138546,-25.124254128138546,-4.313135137595536,-28.353746232874542,,,,,,,,,,,,,-3.4742185343280996,13.68628145078623
Australia,AUS,SAUS.L,GBp,unknown,Close,2011,17.62,15.995,-9.222474460839969,-9.222474460839969,-1.0051127173984264,-10.134890914573669,,,,,,,,,,,,,-0.3878019265240895,-0.06226323049882687
Australia,AUS,SAUS.L,GBp,unknown,Close,2012,16.37,18.575,13.469761759315801,13.469761759315801,4.195888354025179,18.23082627831505,,,,,,,,,,,,,4.669596116888952,1.8707773155244078
Australia,AUS,SAUS.L,GBp,unknown,Close,2013,19.035,18.88,-0.8142894667717449,-0.8142894667717449,1.5934265300311612,0.7661619588646307,,,,,,,,,,,,,2.017484182547502,-14.270308948815602
Australia,AUS,SAUS.L,GBp,unknown,Close,2014,18.905,19.35,2.3538746363396035,2.3538746363396035,-6.006542704804973,-3.7940545537146764,,,,,,,,,,,,,-5.934775184933427,-8.342861788570055
Australia,AUS,SAUS.L,GBp,unknown,Close,2015,19.345,18.2925,-5.440682346859649,-5.440682346859649,-4.888855870697362,-10.063551099236568,,,,,,1233914000000.0,1639508000000.0,2.34,,12.403551099236568,,12.403551099236568,-5.407515212426162,-11.009309425932345
Australia,AUS,SAUS.L,GBp,unknown,Close,2016,17.8525,24.3075,36.157400924240314,36.157400924240314,-16.625708610234625,13.520268195307207,-1.159094385657633,,,,14.851505547956844,1262645000000.0,1697357000000.0,2.694,2.328444,-10.826268195307208,-11.191824195307206,-10.826268195307208,-16.21181156312136,-0.8507572683143172
Australia,AUS,SAUS.L,GBp,unknown,Close,2017,24.68,26.555,7.597244732576991,7.597244732576991,8.841388071573641,17.110334693704953,3.0762698942813804,,,,13.615223769561503,1381106000000.0,1801193000000.0,2.38,9.381972,-14.730334693704954,-7.728362693704954,-14.730334693704954,9.450435944365921,8.215651626986208
Australia,AUS,SAUS.L,GBp,unknown,Close,2018,26.4225,24.595,-6.916453779922415,-6.916453779922415,-6.085304224640065,-12.580870750497585,-2.4300058909417666,,,,-10.403674769324834,1417158000000.0,1894241000000.0,2.791,2.610372,15.371870750497585,15.191242750497585,15.371870750497585,-5.7563161806094225,-9.745790906899753
Australia,AUS,SAUS.L,GBp,unknown,Close,2019,24.7025,29.015,17.4577471915798,17.4577471915798,2.9438642939063397,20.9155438715795,-7.046296673496255,,,,30.081470177534108,1386289000000.0,1993444000000.0,1.936,-2.178233,-18.9795438715795,-23.0937768715795,-18.9795438715795,4.118031584084703,-0.3515542306237407
